pipe_tag,break_date
wpbrk0273,2016-06-01
wpbrk0274,2016-06-06
wpbrk0275,2016-06-17
wpbrk0276,2016-06-20
wpbrk0277,2016-06-24
wpbrk0279,2016-07-20
wpbrk0280,2016-07-28
wpbrk0281,2016-07-29
wpbrk0283,2016-09-02
wpbrk0284,2016-09-09
wpbrk0285,2016-09-24
wpbrk0286,2016-09-26
wpbrk0287,2016-10-05
wpbrk0288,2016-10-27
wpbrk0289,2016-10-28
wpbrk0293,2016-11-11
wpbrk0295,2016-11-12
wpbrk0296,2016-11-16
wpbrk0297,2016-11-19
wpbrk0298,2016-11-22
wpbrk0299,2016-11-23
wpbrk0300,2016-12-01
wpbrk0302,2016-12-01
wpbrk0303,2016-12-01
wpbrk0305,2016-12-08
wpbrk0306,2016-12-08
wpbrk0308,2016-12-14
wpbrk0309,2016-12-15
wpbrk0310,2016-12-19
wpbrk0311,2016-12-20
wpbrk0312,2016-12-21
wpbrk0314,2016-12-21
wpbrk0315,2016-12-25
wpbrk0316,2016-12-29
wpbrk0317,2017-01-01
wpbrk0318,2017-01-06
wpbrk0319,2017-01-13
wpbrk0320,2017-01-24
wpbrk0323,2017-01-24
wpbrk0324,2017-02-08
wpbrk0325,2017-02-09
wpbrk0326,2017-02-23
wpbrk0327,2017-04-13
wpbrk0328,2017-04-29
wpbrk0330,2017-05-01
wpbrk0331,2017-06-30
wpbrk0332,2017-07-10
wpbrk0333,2017-07-12
wpbrk0334,2017-07-14
wpbrk0336,2017-07-18
wpbrk0338,2017-07-22
wpbrk0339,2017-07-24
wpbrk0341,2017-07-25
wpbrk0342,2017-07-28
wpbrk0343,2017-08-14
wpbrk0346,2017-08-18
wpbrk0347,2017-08-20
wpbrk0348,2017-08-26
wpbrk0349,2017-09-05
wpbrk0350,2017-09-06
wpbrk0351,2017-09-06
wpbrk0352,2017-09-08
wpbrk0353,2017-09-12
wpbrk0354,2017-09-18
wpbrk0355,2017-10-04
wpbrk0356,2017-10-06
wpbrk0357,2017-10-19
wpbrk0358,2017-10-20
wpbrk0359,2017-10-30
wpbrk0360,2017-10-31
wpbrk0361,2017-11-01
wpbrk0362,2017-11-01
wpbrk0363,2017-11-02
wpbrk0364,2017-11-04
wpbrk0365,2017-11-07
wpbrk0366,2017-11-11
wpbrk0367,2017-11-19
wpbrk0368,2017-11-19
wpbrk0369,2017-11-29
wpbrk0370,2017-12-10
wpbrk0372,2017-12-11
wpbrk0373,2017-12-12
wpbrk0374,2017-12-13
wpbrk0375,2017-12-14
wpbrk0376,2017-12-16
wpbrk0377,2017-12-18
wpbrk0378,2017-12-24
wpbrk0379,2017-12-29
wpbrk0380,2018-01-02
wpbrk0381,2018-01-04
wpbrk0382,2018-01-08
wpbrk0383,2018-01-08
wpbrk0384,2018-01-11
wpbrk0385,2018-01-23
wpbrk0386,2018-01-28
wpbrk0387,2018-01-28
wpbrk0391,2018-01-29
wpbrk0392,2018-02-14
wpbrk0393,2018-01-29
wpbrk0394,2018-02-13
wpbrk0395,2018-02-26
wpbrk0397,2018-03-08
wpbrk0398,2018-01-29
wpbrk0399,2018-03-04
wpbrk0401,2018-03-27
wpbrk0402,2018-04-12
wpbrk0403,2018-05-05
wpbrk0404,2018-05-25
wpbrk0405,2018-05-26
wpbrk0407,2018-05-28
wpbrk0408,2018-05-31
wpbrk0409,2018-06-05
wpbrk0410,2018-06-11
wpbrk0411,2018-06-13
wpbrk0412,2018-06-14
wpbrk0413,2018-06-14
wpbrk0414,2018-07-02
wpbrk0415,2018-07-02
wpbrk0416,2018-07-21
wpbrk0418,2018-07-26
wpbrk0419,2018-08-21
wpbrk0420,2018-09-10
wpbrk0421,2018-09-10
wpbrk0422,2018-09-19
wpbrk0423,2018-10-02
wpbrk0424,2018-10-17
wpbrk0425,2018-10-26
wpbrk0426,2018-10-30
wpbrk0427,2018-11-03
wpbrk0428,2018-11-04
wpbrk0429,2018-11-12
wpbrk0430,2018-11-18
wpbrk0431,2018-11-23
wpbrk0432,2018-11-26
wpbrk0433,2018-11-29
wpbrk0434,2018-12-11
wpbrk0435,2018-12-12
wpbrk0437,2018-12-17
wpbrk0438,2018-12-22
wpbrk0439,2018-12-23
wpbrk0440,2018-12-26
wpbrk0441,2018-12-27
wpbrk0442,2018-12-28
wpbrk0443,2018-12-29
wpbrk0444,2019-05-25
wpbrk0445,2019-05-09
wpbrk0446,2019-05-14
wpbrk0447,2019-04-23
wpbrk0448,2019-05-17
wpbrk0449,2019-05-16
wpbrk0450,2019-05-10
wpbrk0451,2019-04-24
wpbrk0452,2019-05-30
wpbrk0453,2019-05-15
wpbrk0454,2019-04-26
wpbrk0455,2019-03-18
wpbrk0456,2019-04-15
wpbrk0457,2019-03-20
wpbrk0458,2019-03-22
wpbrk0459,2019-03-18
wpbrk0460,2019-03-14
wpbrk0461,2019-03-31
wpbrk0462,2019-03-31
wpbrk0463,2019-02-02
wpbrk0465,2019-03-05
wpbrk0466,2019-02-26
wpbrk0468,2019-03-06
wpbrk0469,2019-06-01
wpbrk0470,2019-02-13
wpbrk0472,2019-03-04
wpbrk0473,2019-06-29
wpbrk0474,2019-06-23
wpbrk0475,2019-06-14
wpbrk0477,2019-06-17
wpbrk0478,2019-06-18
wpbrk0479,2019-06-18
wpbrk0480,2019-06-17
wpbrk0481,2019-06-16
wpbrk0482,2019-06-15
wpbrk0483,2019-06-02
wpbrk0484,2019-06-17
wpbrk0485,2019-07-16
wpbrk0486,2019-07-21
wpbrk0487,2019-07-22
wpbrk0488,2019-01-02
wpbrk0490,2019-01-10
wpbrk0491,2019-01-15
wpbrk0492,2019-01-22
wpbrk0493,2019-01-23
wpbrk0494,2019-01-25
wpbrk0496,2019-07-30
wpbrk0498,2019-07-29
wpbrk0500,2019-07-24
wpbrk0502,2019-07-21
wpbrk0503,2019-07-16
wpbrk0504,2019-08-07
wpbrk0505,2019-08-10
wpbrk0506,2019-08-01
wpbrk0507,2019-08-14
wpbrk0508,2019-07-24
wpbrk0509,2019-08-13
wpbrk0510,2019-08-15
wpbrk0512,2019-09-20
wpbrk0514,2019-09-21
wpbrk0515,2019-08-17
wpbrk0517,2019-08-14
wpbrk0518,2019-09-14
wpbrk0519,2019-09-23
wpbrk0520,2019-09-27
wpbrk0521,2019-10-12
wpbrk0522,2019-10-14
wpbrk0523,2019-10-01
wpbrk0526,2019-10-31
wpbrk0527,2019-11-09
wpbrk0528,2019-10-22
wpbrk0529,2019-11-18
wpbrk0530,2019-11-11
wpbrk0531,2019-11-25
wpbrk0532,2019-11-28
wpbrk0533,2019-12-31
wpbrk0534,2019-12-14
wpbrk0535,2019-12-05
wpbrk0537,2019-12-15
wpbrk0538,2019-12-05
wpbrk0539,2019-11-23
wpbrk0540,2020-01-21
wpbrk0541,2019-11-14
wpbrk0542,2019-11-18
wpbrk0543,2020-01-24
wpbrk0544,2020-01-26
wpbrk0545,2020-01-06
wpbrk0546,2020-02-17
wpbrk0547,2020-02-20
wpbrk0548,2020-02-06
wpbrk0549,2020-02-16
wpbrk0551,2020-01-08
wpbrk0552,2020-06-07
wpbrk0553,2020-06-17
wpbrk0555,2020-06-15
wpbrk0556,2019-12-02
wpbrk0557,2019-12-16
wpbrk0558,2020-01-11
wpbrk0559,2020-01-10
wpbrk0560,2020-01-11
wpbrk0561,2020-01-27
wpbrk0562,2020-02-04
wpbrk0563,2020-03-05
wpbrk0565,2020-07-15
wpbrk0566,2020-05-05
wpbrk0567,2020-05-12
wpbrk0568,2020-02-20
wpbrk0569,2020-07-07
wpbrk0571,2020-03-30
wpbrk0572,2020-06-07
wpbrk0573,2020-03-10
wpbrk0574,2020-09-09
wpbrk0575,2020-09-13
wpbrk0576,2020-08-31
wpbrk0577,2020-08-31
wpbrk0578,2020-08-29
wpbrk0579,2020-12-07
wpbrk0580,2020-09-10
wpbrk0581,2020-09-23
wpbrk0582,2020-09-03
wpbrk0584,2020-09-21
wpbrk0585,2020-10-09
wpbrk0586,2020-10-20
wpbrk0587,2020-10-25
wpbrk0588,2020-11-09
wpbrk0589,2020-11-10
wpbrk0590,2020-11-17
wpbrk0591,2020-11-20
wpbrk0592,2020-11-23
wpbrk0594,2020-11-24
wpbrk0595,2020-11-26
wpbrk0597,2020-11-27
wpbrk0598,2020-11-28
wpbrk0599,2020-12-12
wpbrk0600,2020-12-09
wpbrk0601,2020-12-17
wpbrk0602,2020-12-18
wpbrk0604,2020-12-22
wpbrk0605,2021-01-01
wpbrk0606,2021-01-03
wpbrk0607,2021-01-04
wpbrk0608,2021-01-02
wpbrk0609,2021-01-04
wpbrk0610,2021-01-08
wpbrk0611,2021-01-12
wpbrk0612,2021-01-23
wpbrk0613,2021-01-17
wpbrk0614,2021-01-18
wpbrk0615,2021-01-21
wpbrk0616,2021-01-27
wpbrk0617,2021-01-28
wpbrk0618,2021-01-29
wpbrk0619,2021-02-01
wpbrk0620,2021-02-02
wpbrk0621,2021-02-14
wpbrk0622,2021-02-20
wpbrk0623,2021-02-22
wpbrk0625,2021-02-22
wpbrk0626,2021-02-23
wpbrk0627,2021-02-25
wpbrk0628,2021-02-27
wpbrk0629,2021-03-15
wpbrk0630,2021-03-25
wpbrk0631,2021-03-28
wpbrk0632,2021-10-01
wpbrk0633,2021-10-01
wpbrk0634,2021-03-04
wpbrk0635,2021-02-18
wpbrk0637,2021-02-23
wpbrk0638,2021-02-25
wpbrk0640,2021-03-29
wpbrk0643,2021-04-02
wpbrk0644,2021-04-07
wpbrk0646,2021-04-12
wpbrk0647,2021-06-03
wpbrk0648,2021-06-05
wpbrk0649,2020-06-17
wpbrk0651,2021-06-21
wpbrk0652,2021-07-20
wpbrk0654,2021-08-26
wpbrk0655,2021-08-27
wpbrk0656,2021-09-06
wpbrk0657,2021-09-06
wpbrk0658,2021-09-29
wpbrk0661,2021-09-29
wpbrk0662,2021-10-14
wpbrk0663,2021-11-20
wpbrk0665,2020-11-20
wpbrk0666,2021-03-21
wpbrk0668,2021-05-14
wpbrk0670,2020-11-21
wpbrk0675,2020-11-20
wpbrk0676,2020-12-01
wpbrk0679,2021-01-25
wpbrk0680,2021-02-17
wpbrk0681,2021-02-18
wpbrk0683,2021-02-19
wpbrk0684,2021-02-22
wpbrk0685,2021-02-23
wpbrk0686,2021-04-14
wpbrk0687,2021-04-16
wpbrk0688,2021-04-19
wpbrk0689,2021-04-20
wpbrk0691,2021-04-22
wpbrk0692,2021-05-07
wpbrk0694,2021-06-25
wpbrk0696,2021-06-30
wpbrk0697,2021-07-07
wpbrk0699,2021-08-14
wpbrk0700,2021-08-17
wpbrk0701,2021-08-24
wpbrk0704,2021-08-11
wpbrk0706,2021-11-05
wpbrk0707,2021-11-19
wpbrk0710,2021-11-24
wpbrk0711,2021-12-09
wpbrk0714,2021-12-17
wpbrk0716,2021-12-21
wpbrk0709,2021-12-26
wpbrk0717,2022-01-03
wpbrk0718,2022-01-17
wpbrk0719,2022-01-18
wpbrk0720,2022-01-24
wpbrk0722,2022-01-25
wpbrk0723,2022-01-26
wpbrk0724,2022-01-26
wpbrk0726,2022-01-27
wpbrk0727,2022-02-04
wpbrk0728,2022-02-09
wpbrk0729,2022-02-10
wpbrk0730,2022-02-16
wpbrk0731,2022-02-28
wpbrk0732,2022-03-01
